,full-address,property-type,Subtype of property,Price,rooms-number,area,equipped-kitchen,State of the property,furnished,facades-number,Terrace,terrace-area,Garden,garden-area,zip_code,locality
0,1000 Brussels,APARTMENT,apartment,333500,2,100.0,Super equipped,Normal,0,2,0,0.0,0,0.0,1000,Brussels
1,1000 Brussels,APARTMENT,apartment,379000,1,80.0,Super equipped,Normal,0,2,0,0.0,0,0.0,1000,Brussels
2,1000 Brussels,APARTMENT,apartment,295000,2,80.0,Partially equipped,Normal,0,2,1,4.0,0,0.0,1000,Brussels
3,1000 Brussels,APARTMENT,loft,635000,2,217.0,Super equipped,Fully renovated,0,2,1,40.0,0,0.0,1000,Brussels
4,1000 Brussels,APARTMENT,loft,595000,2,207.0,Partially equipped,Fully renovated,0,2,1,10.0,0,0.0,1000,Brussels
5,1000 Brussels,APARTMENT,duplex,615000,2,170.0,Super equipped,Normal,0,3,1,40.0,0,0.0,1000,Brussels
6,1000 Brussels,APARTMENT,duplex,615000,1,170.0,Super equipped,Normal,0,3,1,40.0,0,0.0,1000,Brussels
7,1000 Brussels,APARTMENT,apartment,515000,3,130.0,Partially equipped,Normal,0,2,1,15.0,0,0.0,1000,Brussels
8,1000 Brussels,APARTMENT,apartment,550000,3,130.0,Partially equipped,Normal,0,2,1,14.0,0,0.0,1000,Brussels
9,1000 Brussels,APARTMENT,apartment,355000,1,82.0,Fully equipped,Normal,0,2,1,5.0,0,0.0,1000,Brussels
10,1000 Brussels,APARTMENT,apartment,375000,1,73.0,Fully equipped,Normal,0,2,1,26.0,0,0.0,1000,Brussels
11,1000 Brussels,APARTMENT,apartment,395000,2,107.0,Fully equipped,Normal,0,2,0,0.0,0,0.0,1000,Brussels
12,1000 Brussels,APARTMENT,apartment,455000,2,107.0,Fully equipped,Normal,0,2,1,12.0,0,0.0,1000,Brussels
13,1000 Brussels,APARTMENT,apartment,470000,2,105.0,Fully equipped,Normal,0,2,1,20.0,0,0.0,1000,Brussels
14,1000 Brussels,APARTMENT,apartment,229000,2,80.0,Partially equipped,Excellent,0,2,1,3.0,0,0.0,1000,Brussels
15,1000 Brussels,APARTMENT,apartment,199000,1,56.0,Partially equipped,Excellent,0,2,0,0.0,0,0.0,1000,Brussels
16,1000 Brussels,APARTMENT,apartment,749000,2,150.0,Partially equipped,Excellent,0,2,1,4.0,0,0.0,1000,Brussels
17,1000 Brussels,APARTMENT,duplex,439000,4,205.0,Partially equipped,Excellent,0,2,0,0.0,0,0.0,1000,Brussels
18,1000 Brussels,APARTMENT,studio,180000,1,40.0,Partially equipped,Normal,1,2,1,4.0,0,0.0,1000,Brussels
